City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Handan,CN,2022-08-11 04:56:27,36.6006,114.4678,83.14,79,96,5.5
107,Souillac,MU,2022-08-11 04:56:27,-20.5167,57.5167,70.18,64,75,12.66
108,Richards Bay,ZA,2022-08-11 04:56:28,-28.783,32.0377,62.13,85,40,2.77
109,Ekhabi,RU,2022-08-11 04:56:28,53.5102,142.9671,64.13,79,100,10.02
110,San Angelo,US,2022-08-11 04:53:55,31.4638,-100.437,78.55,78,92,3.71
111,Voyvozh,RU,2022-08-11 04:56:28,62.892,54.9635,55.53,90,100,9.08
112,Boa Vista,BR,2022-08-11 04:52:20,2.8197,-60.6733,82.38,74,0,2.3
113,Barcelos,PT,2022-08-11 04:56:29,41.5388,-8.6151,69.85,98,10,1.97
114,Bridlington,GB,2022-08-11 04:56:29,54.0831,-0.1919,58.51,82,6,4.74
115,Samagaltay,RU,2022-08-11 04:56:29,50.6022,95.0047,67.46,44,100,15.99
116,Aasiaat,GL,2022-08-11 04:56:30,68.7098,-52.8699,37.4,94,100,6.82
117,Montijo,PT,2022-08-11 04:56:30,38.7067,-8.9739,68.0,90,40,0.0
118,Srednekolymsk,RU,2022-08-11 04:56:30,67.45,153.6833,79.29,42,100,0.87
119,Urgut,UZ,2022-08-11 04:56:31,39.4022,67.2431,76.62,25,1,7.49
120,Hobart,AU,2022-08-11 04:55:26,-42.8794,147.3294,55.26,69,0,5.75
121,Sitka,US,2022-08-11 04:56:31,57.0531,-135.33,57.16,95,89,3.71
122,Iqaluit,CA,2022-08-11 04:56:32,63.7506,-68.5145,44.33,81,20,8.99
123,Jos,NG,2022-08-11 04:56:32,9.9167,8.9,65.5,97,100,5.01
124,Plettenberg Bay,ZA,2022-08-11 04:56:32,-34.0527,23.3716,54.63,89,100,4.03
125,Zavallya,UA,2022-08-11 04:56:32,48.2135,30.0156,63.41,84,47,13.44
126,Novokruchininskiy,RU,2022-08-11 04:56:33,51.7833,113.7667,64.13,52,99,4.07
127,Vardo,NO,2022-08-11 04:56:33,70.3705,31.1107,57.18,94,100,9.22
128,Biu,NG,2022-08-11 04:56:33,10.6129,12.1946,67.64,93,100,5.3
129,Butaritari,KI,2022-08-11 04:56:34,3.0707,172.7902,81.84,74,15,15.1
130,Beringovskiy,RU,2022-08-11 04:56:34,63.05,179.3167,62.74,68,50,7.18
131,Kununurra,AU,2022-08-11 04:56:34,-15.7667,128.7333,85.98,21,1,11.5
132,Qaqortoq,GL,2022-08-11 04:56:35,60.7167,-46.0333,45.45,89,100,6.42
133,Sulangan,PH,2022-08-11 04:56:35,11.1373,123.7228,83.68,69,17,3.67
134,Tasiilaq,GL,2022-08-11 04:56:35,65.6145,-37.6368,32.47,76,79,2.68
135,Mirnyy,RU,2022-08-11 04:57:36,62.5353,113.9611,73.24,43,60,11.01
136,Kapaa,US,2022-08-11 04:57:36,22.0752,-159.319,79.12,81,100,1.99
137,Sterling,US,2022-08-11 04:57:37,39.0062,-77.4286,72.97,97,100,5.99
138,Galbshtadt,RU,2022-08-11 04:57:37,53.2264,78.9845,75.36,50,100,8.25
139,Margate,GB,2022-08-11 04:56:33,51.3813,1.3862,66.9,97,0,3.0
140,Bandarbeyla,SO,2022-08-11 04:57:37,9.4942,50.8122,81.3,63,100,32.39
141,Vung Tau,VN,2022-08-11 04:55:57,10.346,107.0843,81.7,77,100,15.35
142,Tall Kayf,TR,2022-08-11 04:57:38,37.0833,41.0667,72.79,53,0,4.61
143,Agadez,NE,2022-08-11 04:57:38,19.75,10.25,86.27,17,79,4.61
144,Nikolskoye,RU,2022-08-11 04:57:39,59.7035,30.7861,63.88,63,94,7.14
145,La Ronge,CA,2022-08-11 04:57:39,55.1001,-105.2842,64.62,72,0,4.61
146,Norman Wells,CA,2022-08-11 04:57:39,65.282,-126.8329,57.24,51,20,4.61
147,Komsomolskiy,UZ,2022-08-11 04:57:40,40.4272,71.7189,83.12,26,5,6.91
148,Mareeba,AU,2022-08-11 04:57:40,-17.0,145.4333,75.92,58,4,8.86
149,Okha,RU,2022-08-11 04:57:40,53.5739,142.9478,62.37,82,100,8.63
150,Mao,ES,2022-08-11 04:57:41,39.8885,4.2658,77.56,78,0,2.3
151,Amapa,BR,2022-08-11 04:57:41,1.0,-52.0,70.3,99,56,2.15
152,Hirara,JP,2022-08-11 04:57:41,24.8,125.2833,89.87,70,40,3.44
153,Jiaohe,CN,2022-08-11 04:57:42,43.7286,127.3447,72.52,80,93,7.0
154,Dikson,RU,2022-08-11 04:57:42,73.5069,80.5464,42.22,89,100,13.67
155,Xuddur,SO,2022-08-11 04:57:42,4.1213,43.8894,72.93,69,77,21.21
156,Izumo,JP,2022-08-11 04:57:43,35.3667,132.7667,91.35,62,75,8.05
157,Gizo,SB,2022-08-11 04:57:43,-8.103,156.8419,82.69,71,83,2.1
158,Leningradskiy,RU,2022-08-11 04:57:43,69.3833,178.4167,49.55,76,53,6.67
159,Awjilah,LY,2022-08-11 04:57:44,29.1081,21.2869,77.63,33,0,6.64
160,Rawson,AR,2022-08-11 04:57:44,-43.3002,-65.1023,47.17,61,26,9.37
161,Kavieng,PG,2022-08-11 04:57:44,-2.5744,150.7967,82.89,75,64,8.08
162,Rio Gallegos,AR,2022-08-11 04:57:45,-51.6226,-69.2181,37.45,87,0,10.36
163,Sakakah,SA,2022-08-11 04:57:45,29.9697,40.2064,89.17,26,0,10.69
164,Firozpur,IN,2022-08-11 04:57:45,30.9167,74.6,85.42,75,82,13.71
165,Carauari,BR,2022-08-11 04:57:46,-4.8828,-66.8958,70.43,95,18,2.04
166,Carnarvon,AU,2022-08-11 04:57:46,-24.8667,113.6333,69.8,27,0,13.67
167,Severo-Yeniseyskiy,RU,2022-08-11 04:57:46,60.3725,93.0408,63.43,50,23,8.93
168,Port Hardy,CA,2022-08-11 04:57:46,50.6996,-127.4199,57.38,100,75,0.0
169,Puerto Ayora,EC,2022-08-11 04:54:46,-0.7393,-90.3518,69.55,93,95,5.01
170,Waingapu,ID,2022-08-11 04:57:47,-9.6567,120.2641,84.2,66,66,12.21
171,Cabadiangan,PH,2022-08-11 04:57:47,9.7531,122.4739,86.32,68,49,6.04
172,Russell,US,2022-08-11 04:57:48,32.3502,-85.1999,74.48,94,98,2.19
173,Kiama,AU,2022-08-11 04:57:48,-34.6833,150.8667,65.37,66,100,8.99
174,Port Elizabeth,ZA,2022-08-11 04:57:48,-33.918,25.5701,50.29,93,0,2.3
175,Pevek,RU,2022-08-11 04:57:49,69.7008,170.3133,42.8,93,18,4.81
176,Tuatapere,NZ,2022-08-11 04:57:49,-46.1333,167.6833,43.93,71,20,3.65
177,Caravelas,BR,2022-08-11 04:57:49,-17.7125,-39.2481,70.21,78,21,12.26
178,Miles City,US,2022-08-11 04:57:49,46.4083,-105.8406,84.92,34,57,17.9
179,Avarua,CK,2022-08-11 04:55:23,-21.2078,-159.775,73.45,78,75,11.5
180,Otautau,NZ,2022-08-11 04:58:50,-46.15,168.0,44.44,73,20,2.44
181,Yerbogachen,RU,2022-08-11 04:58:50,61.2767,108.0108,70.83,52,12,7.92
182,Jha Jha,IN,2022-08-11 04:58:51,24.7667,86.3667,86.14,68,93,23.11
183,Rocha,UY,2022-08-11 04:58:51,-34.4833,-54.3333,43.21,91,93,3.8
184,Newport,GB,2022-08-11 04:58:51,51.5877,-2.9984,66.74,66,0,7.76
185,Marawi,PH,2022-08-11 04:58:51,7.9986,124.2928,79.57,70,67,4.65
186,Nioro,GM,2022-08-11 04:58:52,13.35,-15.75,76.71,91,100,5.46
187,Ruthen,DE,2022-08-11 04:58:52,51.4909,8.436,60.85,51,0,5.75
188,Santa Vitoria Do Palmar,BR,2022-08-11 04:58:52,-33.5189,-53.3681,49.06,92,95,4.36
189,Quelimane,MZ,2022-08-11 04:58:53,-17.8786,36.8883,62.55,94,1,0.0
190,Edelira,PY,2022-08-11 04:58:53,-26.75,-55.2667,46.22,98,41,1.34
191,Nome,US,2022-08-11 04:58:54,64.5011,-165.4064,50.16,93,97,4.65
192,Kavaratti,IN,2022-08-11 04:58:54,10.5669,72.642,81.3,84,83,19.51
193,Lodja,CD,2022-08-11 04:58:54,-3.4833,23.4333,76.41,34,85,1.36
194,Cabo San Lucas,MX,2022-08-11 04:58:55,22.8909,-109.9124,84.61,80,92,9.13
195,Vrede,ZA,2022-08-11 04:58:55,-27.4257,29.1659,44.8,45,1,1.48
196,Prainha,BR,2022-08-11 04:58:55,-1.8,-53.48,74.32,67,83,2.06
197,Kirakira,SB,2022-08-11 04:58:56,-10.4544,161.9205,81.39,84,45,8.1
198,Nautla,MX,2022-08-11 04:58:56,20.2167,-96.7833,78.4,81,56,5.08
199,Auki,SB,2022-08-11 04:58:56,-8.7676,160.7034,82.17,76,28,1.9
200,Omaruru,NA,2022-08-11 04:58:56,-21.4333,15.9333,57.34,24,0,3.62
201,New Norfolk,AU,2022-08-11 04:58:57,-42.7826,147.0587,54.91,73,99,3.4
202,Yellowknife,CA,2022-08-11 04:58:57,62.456,-114.3525,55.92,67,75,12.66
203,Salta,AR,2022-08-11 04:58:57,-24.7859,-65.4117,40.57,83,0,4.61
204,Puerto Escondido,MX,2022-08-11 04:56:51,15.85,-97.0667,76.55,94,100,6.98
205,Pangnirtung,CA,2022-08-11 04:58:58,66.1451,-65.7125,42.51,90,57,0.22
206,Poum,NC,2022-08-11 04:58:58,-20.2333,164.0167,71.31,58,1,23.2
207,Waipawa,NZ,2022-08-11 04:58:58,-41.4122,175.5153,42.15,78,81,7.18
208,Gat,IL,2022-08-11 04:58:59,31.61,34.7642,79.48,100,4,2.13
209,Khowst,AF,2022-08-11 04:58:59,33.3833,69.8833,85.35,49,1,5.73
210,Vila Velha,BR,2022-08-11 04:56:45,-20.3297,-40.2925,73.94,82,0,8.05
211,Bingol,TR,2022-08-11 04:59:00,38.8847,40.4939,80.96,24,0,3.33
212,Kondoa,TZ,2022-08-11 04:59:00,-4.9,35.7833,59.63,76,59,7.87
213,Lagoa,PT,2022-08-11 04:59:00,39.05,-27.9833,70.41,74,6,5.19
214,Zima,RU,2022-08-11 04:59:01,53.9202,102.0442,65.98,76,86,5.88
215,Constitucion,CL,2022-08-11 04:59:01,-35.3333,-72.4167,46.96,84,0,6.89
216,Monroe,US,2022-08-11 04:59:01,43.1501,-77.6831,65.95,88,35,7.78
217,Atherton,GB,2022-08-11 04:59:02,53.5237,-2.4935,62.29,85,8,2.64
218,Olinda,BR,2022-08-11 04:59:02,-8.0089,-34.8553,74.93,83,75,4.61
219,Khandyga,RU,2022-08-11 04:59:03,62.6667,135.6,62.82,78,100,3.09
220,Manggar,ID,2022-08-11 04:59:03,-2.8833,108.2667,86.02,68,59,12.55
221,Dunedin,NZ,2022-08-11 04:59:03,-45.8742,170.5036,44.8,67,55,5.99
222,Anchorage,US,2022-08-11 04:55:53,61.2181,-149.9003,68.32,64,40,0.0
223,Tuktoyaktuk,CA,2022-08-11 04:56:34,69.4541,-133.0374,50.0,87,100,16.11
224,Quatre Cocos,MU,2022-08-11 05:00:04,-20.2078,57.7625,71.1,69,91,21.36
225,Cobija,BO,2022-08-11 05:00:07,-11.0267,-68.7692,62.8,74,8,3.0
226,Bethanien,NA,2022-08-11 05:00:07,-26.502,17.1583,52.83,27,1,4.88
227,Solnechnyy,RU,2022-08-11 05:00:08,50.7214,136.6319,64.33,80,78,2.55
228,Mnogovershinnyy,RU,2022-08-11 05:00:08,53.9353,139.9242,57.47,89,100,2.64
229,Karratha,AU,2022-08-11 04:55:48,-20.7377,116.8463,77.09,17,0,18.97
230,Tambo,PE,2022-08-11 05:00:09,-14.8,-73.9167,35.85,59,8,2.21
231,Tanda,IN,2022-08-11 05:00:09,26.55,82.65,91.4,51,95,22.03
232,Ostersund,SE,2022-08-11 05:00:11,63.1792,14.6357,57.61,100,100,12.66
233,Port Lincoln,AU,2022-08-11 05:00:12,-34.7333,135.8667,54.86,82,79,30.18
234,Bowen,AU,2022-08-11 05:00:12,-20.0167,148.2333,70.88,65,55,16.82
235,Clyde River,CA,2022-08-11 05:00:13,70.4692,-68.5914,34.03,100,100,6.91
236,Wabrzezno,PL,2022-08-11 05:00:13,53.2799,18.9477,55.89,74,82,4.94
237,Ouadda,CF,2022-08-11 05:00:14,8.0777,22.4007,67.75,99,100,3.74
238,Esperance,AU,2022-08-11 05:00:15,-33.8667,121.9,58.15,65,86,15.01
239,Tyukhtet,RU,2022-08-11 05:00:15,56.5389,89.3011,77.04,55,9,3.38
240,Ilam,NP,2022-08-11 05:00:16,26.9167,87.9167,78.08,75,22,6.93
241,Filadelfia,US,2022-08-11 04:55:54,39.9523,-75.1638,80.02,83,96,6.38
242,Staryy Oskol,RU,2022-08-11 04:58:48,51.2967,37.8417,70.56,70,100,12.55
243,Victoria,HK,2022-08-11 04:55:33,22.2855,114.1577,81.97,90,92,10.0
244,Hofn,IS,2022-08-11 05:00:17,64.2539,-15.2082,48.38,87,99,11.5
245,Yar-Sale,RU,2022-08-11 05:00:17,66.8333,70.8333,60.17,49,58,10.96
246,Muzhi,RU,2022-08-11 05:00:18,65.3667,64.6667,51.87,87,100,3.15
247,Selestat,FR,2022-08-11 05:00:18,48.2598,7.4565,61.14,59,0,3.44
248,Bethel,US,2022-08-11 05:00:19,41.3712,-73.414,73.76,75,3,3.76
249,The Valley,AI,2022-08-11 04:59:10,18.217,-63.0578,82.26,76,16,18.07
250,Takoradi,GH,2022-08-11 05:00:19,4.8845,-1.7554,72.27,95,58,6.78
251,Pisco,PE,2022-08-11 05:00:20,-13.7,-76.2167,58.01,85,7,2.62
252,Vao,NC,2022-08-11 05:00:20,-22.6667,167.4833,68.13,59,0,22.21
253,Kruisfontein,ZA,2022-08-11 05:00:20,-34.0033,24.7314,51.15,91,97,2.42
254,Tezu,IN,2022-08-11 05:00:21,27.9167,96.1667,92.28,60,52,3.65
255,Sur,OM,2022-08-11 05:00:21,22.5667,59.5289,92.91,51,100,13.51
256,Letka,RU,2022-08-11 05:00:22,59.6011,49.4232,61.52,66,11,7.02
257,Meulaboh,ID,2022-08-11 05:00:22,4.1363,96.1285,83.55,66,100,3.13
258,Pirai Do Sul,BR,2022-08-11 05:00:23,-24.5261,-49.9486,44.04,97,84,3.8
259,Dauphin,CA,2022-08-11 05:00:23,51.1494,-100.0502,56.1,78,99,4.07
260,Asau,RO,2022-08-11 05:00:23,46.4333,26.4,60.28,74,20,5.61
261,Nueva Guinea,NI,2022-08-11 05:00:24,11.6876,-84.4562,72.54,97,99,3.71
262,Zyryanka,RU,2022-08-11 05:00:24,65.75,150.85,79.21,32,100,12.86
263,Yabrud,SY,2022-08-11 05:00:24,33.9674,36.6574,69.53,38,0,2.91
264,Roald,NO,2022-08-11 05:00:25,62.5833,6.1333,64.17,100,75,17.27
265,Hami,CN,2022-08-11 05:00:25,42.8,93.45,100.69,12,97,8.63
266,Mataram,ID,2022-08-11 05:00:25,-8.5833,116.1167,90.41,70,64,1.3
267,Filingue,NE,2022-08-11 05:00:26,14.3521,3.3168,83.77,63,26,12.64
268,Mastic Beach,US,2022-08-11 05:00:26,40.7668,-72.8521,76.28,93,100,8.99
269,Batemans Bay,AU,2022-08-11 05:00:24,-35.7167,150.1833,62.8,51,100,4.14
270,Sabya,SA,2022-08-11 05:01:27,17.1495,42.6254,90.03,66,82,3.02
271,Waterloo,CA,2022-08-11 04:59:11,43.4668,-80.5164,65.73,82,100,2.3
272,Hong Gai,VN,2022-08-11 05:01:27,20.956,107.0946,84.11,90,100,5.99
273,Ostrovnoy,RU,2022-08-11 04:56:39,68.0531,39.5131,58.73,87,100,29.3
274,Juba,SS,2022-08-11 05:01:27,4.8517,31.5825,71.74,92,100,1.23
275,Berlevag,NO,2022-08-11 05:01:28,70.8578,29.0864,57.2,88,100,2.3
276,Atar,MR,2022-08-11 05:01:28,20.5169,-13.0499,88.07,18,100,10.42
277,Nanortalik,GL,2022-08-11 05:01:28,60.1432,-45.2371,44.15,99,100,2.84
278,Palmer,US,2022-08-11 05:00:05,42.1584,-72.3287,71.15,78,11,1.92
279,Upernavik,GL,2022-08-11 05:01:29,72.7868,-56.1549,40.6,87,100,3.42
280,Port Hedland,AU,2022-08-11 05:01:29,-20.3167,118.5667,80.65,26,2,14.97
281,Gardez,AF,2022-08-11 05:01:30,33.5974,69.2259,76.12,41,10,1.01
282,Trinidad,BO,2022-08-11 05:01:30,-14.8333,-64.9,57.65,58,0,4.32
283,Tilichiki,RU,2022-08-11 05:01:30,60.4667,166.1,51.73,97,100,9.06
284,Tshikapa,CD,2022-08-11 05:01:31,-6.4167,20.8,69.01,28,1,3.65
285,Virginia Beach,US,2022-08-11 04:58:51,36.8529,-75.978,78.03,64,35,6.33
286,Ushtobe,KZ,2022-08-11 05:01:31,45.2514,77.9838,84.58,29,1,8.21
287,Albina,SR,2022-08-11 05:01:32,5.5,-54.05,73.99,96,70,2.24
288,Vanimo,PG,2022-08-11 05:01:32,-2.6741,141.3028,84.31,69,51,6.78
289,Kodiak,US,2022-08-11 05:01:32,57.79,-152.4072,54.91,94,100,4.61
290,Zeya,RU,2022-08-11 04:56:40,53.75,127.2667,62.71,86,100,2.15
291,Abalak,RU,2022-08-11 05:01:33,58.1286,68.5944,71.83,43,48,5.68
292,Laukaa,RU,2022-08-11 05:01:33,58.7372,29.8453,60.89,62,39,4.94
293,Klaksvik,FO,2022-08-11 05:01:33,62.2266,-6.589,50.92,84,77,14.12
294,Portland,US,2022-08-11 05:00:04,45.5234,-122.6762,69.62,76,28,4.0
295,Sarh,TD,2022-08-11 05:01:34,9.1429,18.3923,71.83,94,100,4.25
296,Jati,PK,2022-08-11 05:01:34,24.3539,68.2671,88.63,70,100,4.81
