City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Lompoc,US,71.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
83,San Jose,US,78.91,few clouds,37.3394,-121.895,The Westin San Jose
85,Bubaque,GW,79.74,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
86,Jamestown,US,69.39,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Ribeira Grande,PT,74.8,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
88,Santa Cruz,BO,60.26,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
89,Aras,ES,66.61,clear sky,42.5617,-2.356,Jardines de Viana Spa
91,Beruwala,LK,80.11,heavy intensity rain,6.4788,79.9828,The Palms Hotel
92,Kimbe,PG,79.5,light rain,-5.5502,150.1429,Kimbe Bay Hotel
94,Butaritari,KI,82.18,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
98,Margate,GB,70.3,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
99,Allapalli,IN,76.41,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
100,Korla,CN,89.06,broken clouds,41.7597,86.1469,Gulisitan Hotel
101,Thompson,CA,73.56,scattered clouds,55.7435,-97.8558,Burntwood Hotel
103,Kushiro,JP,74.35,light rain,42.975,144.3747,Toyoko Inn Kushiro Jujigai
104,Wembley,AU,63.19,clear sky,-31.9333,115.8,Cambridge Atrium
106,Namibe,AO,60.42,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
107,Axim,GH,74.68,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
109,Ucluelet,CA,66.09,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
110,Cockburn Town,TC,82.29,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
114,Mahebourg,MU,66.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Dovolnoye,RU,67.66,scattered clouds,54.4958,79.6671,Gostinitsa
116,Jega,NG,72.82,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
119,Nikolskoye,RU,62.8,overcast clouds,59.7035,30.7861,Tourist House - Sablino
120,La Baule-Escoublac,FR,71.26,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
122,Kavaratti,IN,81.05,overcast clouds,10.5669,72.642,Green leaf
125,Makakilo City,US,88.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
126,Faanui,PF,78.93,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
129,Ereymentau,KZ,64.42,clear sky,51.6199,73.1033,"Gostinitsa ""Dostyk"""
130,Boyolangu,ID,81.34,broken clouds,-8.1181,111.8935,Yos ega cv
131,Fairbanks,US,73.4,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
132,Monrovia,LR,76.21,light rain,6.3005,-10.7969,Sunset Inn
134,Makushino,RU,62.53,light rain,55.2103,67.2442,Cristina Hotel
135,Beitbridge,ZW,64.02,clear sky,-22.2167,30.0,Beitbridge Express Hotel
136,Kadiri,IN,75.54,overcast clouds,14.1167,78.1667,Chandra's Lodge
137,Venice,US,83.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
139,Lithakia,GR,74.48,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
140,Careiro Da Varzea,BR,83.01,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
142,San Carlos Del Zulia,VE,78.67,scattered clouds,9.0,-71.9135,Hotel El Manantial
145,Isiro,CD,64.42,overcast clouds,2.7739,27.616,Guest House Hewa Bora
147,Songkhla,TH,84.25,overcast clouds,6.8333,100.6667,ร้านโรตี เมือง. โรตีสาวน้อยใกล้ปั้มปตท
148,Trat,TH,86.88,overcast clouds,12.5,102.5,สวนหนิง-อัศ
149,Sitka,US,64.29,broken clouds,57.0531,-135.33,Westmark Sitka
150,Derzhavinsk,KZ,72.54,few clouds,51.1,66.3167,Ooo.khim Baza
151,Daru,PG,80.06,broken clouds,-9.0763,143.2092,Daru Lodge
152,Saint Anthony,US,75.83,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
