City_ID,City_ID,City_ID.1,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,137,137,Venice,US,27.0998,-82.4543,83.98,78,0,6.91,clear sky
138,138,138,Lobatse,BW,-25.2167,25.6667,53.38,38,18,4.07,few clouds
139,139,139,Lithakia,GR,37.7167,20.8333,74.48,78,20,0.0,few clouds
140,140,140,Careiro Da Varzea,BR,-3.2003,-59.8119,83.01,55,89,1.5,overcast clouds
141,141,141,Provideniya,RU,64.3833,-173.3,51.91,93,75,18.01,fog
142,142,142,San Carlos Del Zulia,VE,9.0,-71.9135,78.67,70,46,3.56,scattered clouds
143,143,143,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,14.97,broken clouds
144,144,144,Nanortalik,GL,60.1432,-45.2371,43.77,91,20,6.6,few clouds
145,145,145,Isiro,CD,2.7739,27.616,64.42,99,100,2.21,overcast clouds
146,146,146,Mount Gambier,AU,-37.8333,140.7667,53.51,82,100,9.22,overcast clouds
147,147,147,Songkhla,TH,6.8333,100.6667,84.25,76,96,4.16,overcast clouds
148,148,148,Trat,TH,12.5,102.5,86.88,81,100,7.96,overcast clouds
149,149,149,Sitka,US,57.0531,-135.33,64.29,77,75,0.0,broken clouds
150,150,150,Derzhavinsk,KZ,51.1,66.3167,72.54,49,21,4.9,few clouds
151,151,151,Daru,PG,-9.0763,143.2092,80.06,75,77,13.15,broken clouds
152,152,152,Saint Anthony,US,45.0205,-93.218,75.83,57,0,6.91,clear sky
153,153,153,Kaitangata,NZ,-46.2817,169.8464,48.22,63,100,5.66,overcast clouds
154,154,154,Moratuwa,LK,6.773,79.8816,80.08,86,19,7.87,light rain
155,155,155,Antalaha,MG,-14.9003,50.2788,66.69,88,90,8.5,light rain
156,156,156,Ryotsu,JP,38.0833,138.4333,81.99,79,100,9.01,overcast clouds
157,157,157,Kapaa,US,22.0752,-159.319,84.18,74,40,14.97,scattered clouds
158,158,158,Qaqortoq,GL,60.7167,-46.0333,44.29,91,23,3.74,few clouds
159,159,159,Tiquisate,GT,14.2833,-91.3667,76.23,89,98,3.13,overcast clouds
160,160,160,Shache,CN,38.4167,77.2406,82.31,36,98,10.67,overcast clouds
161,161,161,Masty,BY,53.4122,24.5387,58.26,91,0,7.07,clear sky
162,162,162,Seydi,TM,39.4816,62.9137,75.72,32,0,12.17,clear sky
163,163,163,Valparaiso,CL,-33.0393,-71.6273,53.47,100,100,0.0,overcast clouds
164,164,164,Ponta Delgada,PT,37.7333,-25.6667,76.5,78,20,8.05,few clouds
165,165,165,Pestravka,RU,52.405,49.9583,62.83,76,0,8.59,clear sky
166,166,166,Flin Flon,CA,54.7682,-101.865,66.36,79,88,12.01,overcast clouds
167,167,167,Novikovo,RU,51.1537,37.8879,68.32,72,23,11.1,few clouds
168,168,168,San Luis,AR,-33.295,-66.3356,52.2,48,4,5.93,clear sky
169,169,169,Nhulunbuy,AU,-12.2333,136.7667,84.81,54,20,14.97,few clouds
170,170,170,Kenai,US,60.5544,-151.2583,62.69,96,100,14.97,light rain
171,171,171,La Ronge,CA,55.1001,-105.2842,79.05,47,49,4.61,scattered clouds
172,172,172,Lavrentiya,RU,65.5833,-171.0,44.22,92,100,6.13,overcast clouds
173,173,173,Salamanca,ES,40.8333,-6.0,75.61,33,0,3.22,clear sky
174,174,174,Itoman,JP,26.1247,127.6694,89.62,74,75,5.75,broken clouds
175,175,175,Bintulu,MY,3.1667,113.0333,86.41,84,40,4.61,scattered clouds
176,176,176,Georgetown,MY,5.4112,100.3354,87.73,84,20,5.75,few clouds
177,177,177,Vila Velha,BR,-20.3297,-40.2925,71.55,74,0,12.66,clear sky
178,178,178,Rome,US,34.257,-85.1647,78.01,92,100,3.31,overcast clouds
179,179,179,Neiafu,TO,-18.65,-173.9833,77.68,88,75,4.61,broken clouds
180,180,180,Polis,CY,35.0367,32.4264,73.22,81,0,6.22,clear sky
181,181,181,Hammerfest,NO,70.6634,23.6821,50.45,81,100,32.21,light intensity drizzle
182,182,182,Souillac,MU,-20.5167,57.5167,66.58,82,40,12.66,light rain
183,183,183,Waiouru,NZ,-39.4833,175.6667,43.74,48,8,6.71,clear sky
184,184,184,Ormara,PK,25.2088,64.6357,87.13,69,94,9.84,overcast clouds
185,185,185,Mehamn,NO,71.0357,27.8492,51.75,82,100,28.77,light rain
186,186,186,Sinjar,IQ,36.3209,41.8754,80.83,55,0,9.86,clear sky
187,187,187,Rodney,CA,42.5668,-81.6831,58.86,74,0,11.72,clear sky
188,188,188,Hami,CN,42.8,93.45,92.57,22,98,7.49,overcast clouds
189,189,189,Port Macquarie,AU,-31.4333,152.9167,57.88,74,100,4.27,overcast clouds
190,190,190,Amapa,BR,1.0,-52.0,73.02,91,100,3.02,overcast clouds
191,191,191,Tsiroanomandidy,MG,-18.7667,46.0333,54.39,71,0,3.02,clear sky
192,192,192,Ende,ID,-8.8432,121.6623,84.65,68,21,1.66,few clouds
193,193,193,Puerto Ayacucho,VE,5.6639,-67.6236,75.34,91,99,3.65,overcast clouds
194,194,194,Poya,NC,-21.35,165.15,74.68,48,0,9.1,clear sky
195,195,195,Ixtapa,MX,20.7,-105.2,83.43,74,100,2.3,overcast clouds
196,196,196,Waingapu,ID,-9.6567,120.2641,84.18,66,26,14.03,scattered clouds
197,197,197,Aloleng,PH,16.1307,119.7824,83.26,73,57,2.53,broken clouds
198,198,198,Wairoa,NZ,-39.0333,177.3667,50.56,79,99,10.0,overcast clouds
199,199,199,Castro,BR,-24.7911,-50.0119,44.65,96,2,4.05,clear sky
